 lorenz attractor:
 19.924856186 20.932544708 43.160007477
 19.950048447 20.125061035 43.914970398
 19.954423904 19.280986786 44.625942230
 19.937587738 18.403381348 45.290287018
 19.899232864 17.495555878 45.905651093
 19.839141846 16.561044693 46.469982147
 19.757188797 15.603570938 46.981575012
 19.653348923 14.627005577 47.439071655
 19.527690887 13.635331154 47.841484070
 19.380382538 12.632596970 48.188205719
 19.211687088 11.622877121 48.479011536
 19.021966934 10.610229492 48.714054108
 18.811674118  9.598649025 48.893863678
 18.581348419  8.592031479 49.019321442
 18.331615448  7.594132900 49.091655731
 18.063179016  6.608537197 49.112411499
 17.776813507  5.638622761 49.083423615
 17.473358154  4.687536240 49.006793976
 17.153713226  3.758169413 48.884849548
 16.818824768  2.853142262 48.720115662
 16.469682693  1.974789381 48.515281677
 16.107311249  1.125151873 48.273155212
 15.732757568  0.305973947 47.996643066
 15.347087860 -0.481296837 47.688701630
 14.951377869 -1.235504150 47.352310181
 14.546706200 -1.955774546 46.990447998
 14.134143829 -2.641506195 46.606052399
 13.714752197 -3.292354107 46.202007294
 13.289574623 -3.908213139 45.781108856
 12.859629631 -4.489201069 45.346054077
 12.425909042 -5.035637856 44.899421692
 11.989370346 -5.548025608 44.443660736
 11.550935745 -6.027028561 43.981075287
 11.111486435 -6.473452091 43.513824463
 10.671862602 -6.888222694 43.043907166
 10.232860565 -7.272368431 42.573173523
  9.795229912 -7.627000809 42.103309631
  9.359674454 -7.953296185 41.635848999
  8.926850319 -8.252480507 41.172176361
  8.497366905 -8.525814056 40.713523865
  8.071787834 -8.774578094 40.260982513
  7.650628567 -9.000061989 39.815509796
  7.234361172 -9.203552246 39.377933502
  6.823413372 -9.386323929 38.948959351
  6.418169975 -9.549631119 38.529182434
  6.018974781 -9.694702148 38.119094849
  5.626132965 -9.822731972 37.719085693
  5.239911556 -9.934877396 37.329463959
  4.860541821 -10.032254219 36.950454712
  4.488222122 -10.115933418 36.582214355
  4.123118401 -10.186941147 36.224826813
  3.765367031 -10.246253967 35.878322601
  3.415076494 -10.294799805 35.542682648
  3.072329521 -10.333459854 35.217838287
  2.737184763 -10.363064766 34.903682709
  2.409678459 -10.384398460 34.600078583
  2.089826584 -10.398197174 34.306854248
  1.777626038 -10.405152321 34.023815155
  1.473056555 -10.405909538 33.750747681
  1.176082373 -10.401072502 33.487422943
  0.886653483 -10.391203880 33.233592987
  0.604707003 -10.376827240 32.989002228
  0.330168664 -10.358427048 32.753387451
  0.062953770 -10.336454391 32.526481628
 -0.197031409 -10.311326027 32.308010101
 -0.449888796 -10.283425331 32.097702026
 -0.695727170 -10.253108025 31.895282745
 -0.934661686 -10.220700264 31.700481415
 -1.166812658 -10.186501503 31.513027191
 -1.392304897 -10.150787354 31.332654953
 -1.611266971 -10.113810539 31.159103394
 -1.823830605 -10.075800896 30.992116928
 -2.030129910 -10.036968231 30.831443787
 -2.230300903 -9.997505188 30.676841736
 -2.424480915 -9.957586288 30.528072357
 -2.612808466 -9.917368889 30.384906769
 -2.795422554 -9.876996994 30.247121811
 -2.972461939 -9.836600304 30.114500046
 -3.144065380 -9.796295166 29.986833572
