 lorenz attractor:
 3.966885328 8.460173607 1.937464237
 4.079217434 8.697490692 2.008449078
 4.194674492 8.940810204 2.083756924
 4.313327789 9.190233231 2.163624763
 4.435250282 9.445859909 2.248301744
 4.560515404 9.707783699 2.338049889
 4.689197063 9.976093292 2.433144093
 4.821369648 10.25087357 2.533872843
 4.957107067 10.53220081 2.640538454
 5.096484184 10.82014465 2.753458023
 5.239575863 11.11476612 2.872963428
 5.386455536 11.41611671 2.999402046
 5.537197113 11.72423840 3.133136988
 5.691873074 12.03915977 3.274548054
 5.850555420 12.36089706 3.424031258
 6.013313770 12.68945217 3.581999779
 6.180217266 13.02481079 3.748883963
 6.351332188 13.36694145 3.925131798
 6.526722431 13.71579266 4.111208916
 6.706449032 14.07129192 4.307598591
 6.890570164 14.43334293 4.514802456
 7.079139709 14.80182552 4.733338833
 7.272206783 15.17659092 4.963743687
 7.469816208 15.55746078 5.206570148
 7.672007561 15.94422436 5.462388039
 7.878812790 16.33663559 5.731782436
 8.090258598 16.73441124 6.015353680
 8.306362152 17.13722801 6.313715458
 8.527133942 17.54471970 6.627493858
 8.752573967 17.95647430 6.957325935
 8.982671738 18.37202644 7.303857327
 9.217405319 18.79086304 7.667739868
 9.456741333 19.21241188 8.049629211
 9.700633049 19.63604546 8.450181961
 9.949018478 20.06106949 8.870052338
 10.20181942 20.48672676 9.309888840
 10.45894241 20.91219330 9.770327568
 10.72027397 21.33657074 10.25199032
 10.98568153 21.75888824 10.75547886
 11.25501156 22.17809868 11.28136635
 11.52808857 22.59307480 11.83019447
 11.80471325 23.00260925 12.40246391
 12.08466053 23.40541458 12.99862862
 12.36767960 23.80011749 13.61908722
 12.65349007 24.18526268 14.26417351
 12.94178391 24.55931473 14.93414879
 13.23222256 24.92065430 15.62919140
 13.52443314 25.26758575 16.34938622
 13.81801224 25.59833717 17.09471512
 14.11252022 25.91106415 17.86504555
 14.40748405 26.20386124 18.66012192
 14.70239353 26.47476196 19.47954941
 14.99670315 26.72175217 20.32279205
 15.28982925 26.94277954 21.18915176
 15.58115292 27.13576508 22.07776642
 15.87001801 27.29861450 22.98759842
 16.15573311 27.42923546 23.91742134
 16.43757057 27.52555466 24.86581993
 16.71476936 27.58553696 25.83118057
 16.98653793 27.60720062 26.81168747
 17.25205421 27.58864594 27.80532074
 17.51046944 27.52807045 28.80985451
 17.76091003 27.42379761 29.82286263
 18.00248146 27.27429962 30.84172249
 18.23427773 27.07821846 31.86362457
 18.45537567 26.83439636 32.88557816
 18.66485214 26.54189682 33.90443802
 18.86177826 26.20002747 34.91690826
 19.04523468 25.80836487 35.91957855
 19.21431351 25.36676788 36.90893173
 19.36812401 24.87540436 37.88138580
 19.50580597 24.33475685 38.83331680
 19.62652969 23.74563789 39.76110077
 19.72950745 23.10919952 40.66113663
 19.81399918 22.42693138 41.52989578
 19.87932205 21.70066071 42.36394882
 19.92485619 20.93254471 43.16000748
 19.95004845 20.12506104 43.91497040
 19.95442390 19.28098679 44.62594223
 19.93758774 18.40338135 45.29028702
 19.89923286 17.49555588 45.90565109
 19.83914185 16.56104469 46.46998215
 19.75718880 15.60357094 46.98157501
 19.65334892 14.62700558 47.43907166
 19.52769089 13.63533115 47.84148407
 19.38038254 12.63259697 48.18820572
 19.21168709 11.62287712 48.47901154
 19.02196693 10.61022949 48.71405411
 18.81167412 9.598649025 48.89386368
 18.58134842 8.592031479 49.01932144
 18.33161545 7.594132900 49.09165573
 18.06317902 6.608537197 49.11241150
 17.77681351 5.638622761 49.08342361
 17.47335815 4.687536240 49.00679398
 17.15371323 3.758169413 48.88484955
 16.81882477 2.853142262 48.72011566
 16.46968269 1.974789381 48.51528168
 16.10731125 1.125151873 48.27315521
 15.73275757 0.3059739470 47.99664307
 15.34708786 -0.4812968373 47.68870163
 14.95137787 -1.235504150 47.35231018
 14.54670620 -1.955774546 46.99044800
 14.13414383 -2.641506195 46.60605240
 13.71475220 -3.292354107 46.20200729
 13.28957462 -3.908213139 45.78110886
 12.85962963 -4.489201069 45.34605408
 12.42590904 -5.035637856 44.89942169
 11.98937035 -5.548025608 44.44366074
 11.55093575 -6.027028561 43.98107529
 11.11148643 -6.473452091 43.51382446
 10.67186260 -6.888222694 43.04390717
 10.23286057 -7.272368431 42.57317352
 9.795229912 -7.627000809 42.10330963
 9.359674454 -7.953296185 41.63584900
 8.926850319 -8.252480507 41.17217636
 8.497366905 -8.525814056 40.71352386
 8.071787834 -8.774578094 40.26098251
 7.650628567 -9.000061989 39.81550980
 7.234361172 -9.203552246 39.37793350
 6.823413372 -9.386323929 38.94895935
 6.418169975 -9.549631119 38.52918243
 6.018974781 -9.694702148 38.11909485
 5.626132965 -9.822731972 37.71908569
 5.239911556 -9.934877396 37.32946396
 4.860541821 -10.03225422 36.95045471
 4.488222122 -10.11593342 36.58221436
 4.123118401 -10.18694115 36.22482681
 3.765367031 -10.24625397 35.87832260
 3.415076494 -10.29479980 35.54268265
 3.072329521 -10.33345985 35.21783829
 2.737184763 -10.36306477 34.90368271
 2.409678459 -10.38439846 34.60007858
 2.089826584 -10.39819717 34.30685425
 1.777626038 -10.40515232 34.02381516
 1.473056555 -10.40590954 33.75074768
 1.176082373 -10.40107250 33.48742294
 0.8866534829 -10.39120388 33.23359299
 0.6047070026 -10.37682724 32.98900223
 0.3301686645 -10.35842705 32.75338745
 0.6295377016E-01 -10.33645439 32.52648163
 -0.1970314085 -10.31132603 32.30801010
 -0.4498887956 -10.28342533 32.09770203
 -0.6957271695 -10.25310802 31.89528275
 -0.9346616864 -10.22070026 31.70048141
 -1.166812658 -10.18650150 31.51302719
 -1.392304897 -10.15078735 31.33265495
 -1.611266971 -10.11381054 31.15910339
 -1.823830605 -10.07580090 30.99211693
 -2.030129910 -10.03696823 30.83144379
 -2.230300903 -9.997505188 30.67684174
 -2.424480915 -9.957586288 30.52807236
 -2.612808466 -9.917368889 30.38490677
 -2.795422554 -9.876996994 30.24712181
 -2.972461939 -9.836600304 30.11450005
